iter	Passed	Remaining
428	1560	2076
429	1563	2071
430	1565	2067
431	1568	2062
432	1571	2057
433	1574	2052
434	1577	2049
435	1580	2044
436	1583	2039
437	1585	2034
438	1588	2029
439	1591	2025
440	1594	2021
441	1597	2016
442	1600	2012
443	1602	2007
444	1605	2002
445	1609	1998
446	1611	1993
447	1614	1988
448	1616	1984
449	1619	1979
450	1622	1975
451	1625	1970
452	1628	1965
453	1630	1961
454	1633	1956
455	1635	1951
456	1638	1947
457	1641	1943
458	1644	1938
459	1647	1934
460	1650	1929
461	1653	1925
462	1656	1921
463	1659	1917
464	1662	1912
465	1665	1908
466	1667	1903
467	1670	1899
468	1673	1894
469	1676	1889
470	1678	1885
471	1681	1880
472	1684	1876
473	1686	1871
474	1689	1867
475	1691	1862
476	1694	1857
477	1696	1853
478	1699	1848
479	1702	1844
480	1704	1839
481	1707	1835
482	1710	1830
483	1712	1826
484	1715	1821
485	1718	1817
486	1721	1812
487	1723	1808
488	1726	1804
489	1729	1799
490	1731	1795
491	1734	1790
492	1737	1786
493	1739	1781
494	1742	1777
495	1745	1773
496	1748	1769
497	1751	1765
498	1754	1761
499	1757	1757
500	1760	1753
501	1763	1749
502	1766	1745
503	1769	1741
504	1772	1737
505	1774	1732
506	1777	1728
507	1780	1724
508	1783	1720
509	1786	1716
510	1789	1712
511	1792	1708
512	1795	1704
513	1798	1700
514	1801	1696
515	1804	1692
516	1806	1688
517	1809	1683
518	1813	1680
519	1816	1677
520	1819	1673
521	1822	1669
522	1826	1665
523	1829	1662
524	1832	1658
525	1835	1654
526	1838	1650
527	1842	1646
528	1845	1643
529	1848	1639
530	1850	1634
531	1853	1630
532	1856	1626
533	1859	1622
534	1862	1618
535	1864	1614
536	1867	1610
537	1870	1606
538	1873	1602
539	1875	1597
540	1878	1593
541	1880	1589
542	1883	1584
543	1886	1580
544	1888	1576
545	1900	1580
546	1903	1576
547	1905	1571
548	1908	1567
549	1910	1563
550	1913	1559
551	1915	1554
552	1918	1550
553	1921	1546
554	1924	1542
555	1926	1538
556	1929	1534
557	1931	1530
558	1934	1526
559	1937	1522
560	1939	1517
561	1942	1513
562	1945	1509
563	1948	1505
564	1950	1502
565	1953	1498
566	1956	1494
567	1959	1490
568	1962	1486
569	1965	1482
570	1968	1478
571	1970	1474
572	1973	1470
573	1976	1466
574	1978	1462
575	1981	1458
576	1984	1454
577	1987	1450
578	1989	1446
579	1992	1442
580	1994	1438
581	1997	1434
582	2000	1430
583	2003	1427
584	2005	1423
585	2008	1418
586	2010	1414
587	2013	1411
588	2016	1407
589	2019	1403
590	2022	1399
591	2024	1395
592	2027	1391
593	2030	1387
594	2033	1384
595	2036	1380
596	2038	1376
597	2040	1372
598	2043	1368
599	2046	1364
600	2049	1360
601	2051	1356
602	2053	1352
603	2056	1348
604	2058	1343
605	2060	1339
606	2063	1336
607	2066	1332
608	2069	1328
609	2071	1324
610	2073	1320
611	2076	1316
612	2079	1312
613	2082	1309
614	2085	1305
615	2087	1301
616	2090	1297
617	2093	1293
618	2096	1290
619	2098	1286
620	2101	1282
621	2103	1278
622	2106	1274
623	2108	1270
624	2111	1267
625	2114	1263
626	2117	1259
627	2119	1255
628	2122	1251
629	2125	1248
630	2127	1244
631	2130	1240
632	2133	1236
633	2135	1232
634	2138	1229
635	2142	1225
636	2145	1222
637	2148	1219
638	2151	1215
639	2155	1212
640	2159	1209
641	2163	1206
642	2167	1203
643	2171	1200
644	2176	1197
645	2179	1194
646	2182	1190
647	2186	1187
648	2190	1184
649	2194	1181
650	2197	1178
651	2200	1174
652	2205	1171
653	2209	1169
654	2213	1165
655	2217	1162
656	2220	1159
657	2224	1156
658	2228	1153
659	2231	1149
660	2235	1146
661	2239	1143
662	2243	1140
663	2247	1137
664	2250	1133
665	2254	1130
666	2258	1127
667	2262	1124
668	2266	1121
669	2269	1117
670	2273	1114
671	2276	1111
672	2279	1107
673	2282	1103
674	2285	1100
675	2288	1096
676	2291	1093
677	2293	1089
678	2296	1085
679	2299	1082
680	2303	1078
681	2306	1075
682	2308	1071
683	2312	1068
684	2315	1064
685	2319	1061
686	2322	1058
687	2331	1057
688	2335	1053
689	2338	1050
690	2343	1047
691	2347	1044
692	2351	1041
693	2355	1038
694	2358	1035
695	2363	1032
696	2368	1029
697	2371	1026
698	2375	1022
699	2379	1019
700	2382	1016
701	2386	1012
702	2389	1009
703	2392	1006
704	2396	1002
705	2400	999
706	2403	996
707	2407	992
708	2410	989
709	2414	986
710	2417	982
711	2421	979
712	2424	975
713	2428	972
714	2431	969
715	2435	965
716	2438	962
717	2441	959
718	2445	955
719	2449	952
720	2452	948
721	2455	945
722	2459	942
723	2462	938
724	2465	935
725	2467	931
726	2470	927
727	2474	924
728	2477	921
729	2480	917
730	2483	913
731	2486	910
732	2489	906
733	2493	903
734	2496	899
735	2498	896
736	2501	892
737	2504	889
738	2508	886
739	2511	882
740	2514	878
741	2517	875
742	2521	872
743	2524	868
744	2527	865
745	2531	861
746	2534	858
747	2538	855
748	2541	851
749	2545	848
750	2548	844
751	2552	841
752	2555	838
753	2558	834
754	2561	831
755	2564	827
756	2568	824
757	2571	820
758	2574	817
759	2577	813
760	2581	810
761	2584	807
762	2588	803
763	2590	800
764	2593	796
765	2596	793
766	2600	789
767	2603	786
768	2606	783
769	2610	779
770	2614	776
771	2617	773
772	2620	769
773	2623	766
774	2627	762
775	2630	759
776	2633	755
777	2637	752
778	2640	749
779	2643	745
780	2647	742
781	2650	738
782	2652	735
783	2655	731
784	2658	727
785	2661	724
786	2664	721
787	2667	717
788	2670	714
789	2673	710
790	2676	707
791	2679	703
792	2682	700
793	2685	696
794	2688	693
795	2691	689
796	2695	686
797	2698	683
798	2701	679
799	2704	676
800	2706	672
801	2711	669
802	2714	666
803	2717	662
804	2721	659
805	2725	656
806	2729	652
807	2732	649
808	2735	645
809	2739	642
810	2743	639
811	2746	635
812	2749	632
813	2752	629
814	2757	625
815	2760	622
816	2763	618
817	2766	615
818	2770	612
819	2775	609
820	2778	605
821	2781	602
822	2785	599
823	2789	595
824	2793	592
825	2796	589
826	2800	585
827	2805	582
828	2808	579
829	2812	576
830	2816	572
831	2820	569
832	2823	566
833	2827	562
834	2830	559
835	2834	556
836	2838	552
837	2840	549
838	2845	546
839	2849	542
840	2853	539
841	2856	536
842	2860	532
843	2863	529
844	2867	525
845	2871	522
846	2874	519
847	2877	515
848	2881	512
849	2885	509
850	2888	505
851	2891	502
852	2895	498
853	2898	495
854	2903	492
855	2906	488
856	2909	485
857	2912	481
858	2916	478
859	2920	475
860	2924	472
861	2927	468
862	2932	465
863	2935	462
864	2938	458
865	2941	455
866	2946	451
867	2949	448
868	2951	445
869	2955	441
870	2958	438
871	2962	434
872	2966	431
873	2969	428
874	2972	424
875	2977	421
876	2980	417
877	2983	414
878	2986	411
879	2990	407
880	2994	404
881	2997	401
882	3000	397
883	3004	394
884	3008	390
885	3011	387
886	3014	384
887	3017	380
888	3021	377
889	3024	373
890	3027	370
891	3029	366
892	3032	363
893	3035	359
894	3038	356
895	3041	353
896	3044	349
897	3047	346
898	3050	342
899	3052	339
900	3056	335
901	3059	332
902	3062	328
903	3064	325
904	3067	322
905	3071	318
906	3073	315
907	3076	311
908	3079	308
909	3081	304
910	3084	301
911	3087	297
912	3090	294
913	3092	291
914	3095	287
915	3098	284
916	3102	280
917	3106	277
918	3109	274
919	3112	270
920	3116	267
921	3119	263
922	3122	260
923	3125	257
924	3128	253
925	3131	250
926	3134	246
927	3138	243
928	3140	240
929	3144	236
930	3147	233
931	3151	229
932	3154	226
933	3157	223
934	3160	219
935	3163	216
936	3167	212
937	3170	209
938	3174	206
939	3177	202
940	3180	199
941	3183	196
942	3186	192
943	3189	189
944	3193	185
945	3198	182
946	3201	179
947	3204	175
948	3207	172
949	3211	169
950	3213	165
951	3216	162
952	3219	158
953	3221	155
954	3224	151
955	3228	148
956	3231	145
957	3234	141
958	3236	138
959	3239	134
960	3242	131
961	3245	128
962	3248	124
963	3250	121
964	3253	117
965	3256	114
966	3259	111
967	3261	107
968	3264	104
969	3267	101
970	3269	97
971	3272	94
972	3275	90
973	3278	87
974	3281	84
975	3284	80
976	3287	77
977	3290	74
978	3293	70
979	3296	67
980	3298	63
981	3301	60
982	3304	57
983	3308	53
984	3311	50
985	3313	47
986	3317	43
987	3319	40
988	3322	36
989	3325	33
990	3327	30
991	3330	26
992	3333	23
993	3335	20
994	3339	16
995	3341	13
996	3344	10
997	3347	6
998	3350	3
999	3353	0
