iter	RMSE
181	17492.52231
182	17468.83138
183	17435.98433
184	17405.48895
185	17386.68406
186	17361.57319
187	17311.9399
188	17268.28347
189	17241.02107
190	17196.74577
191	17167.59962
192	17141.02808
193	17113.46461
194	17066.94423
195	17044.89515
196	17000.93907
197	16959.18092
198	16930.22155
199	16907.5713
200	16882.56264
201	16851.83338
202	16830.71139
203	16804.73165
204	16756.86299
205	16728.13973
206	16703.07493
207	16652.83516
208	16615.84159
209	16580.67721
210	16563.00706
211	16528.97617
212	16503.98391
213	16480.46418
214	16432.86546
215	16402.27019
216	16363.04861
217	16324.12376
218	16303.92328
219	16264.78953
220	16244.48983
221	16204.98637
222	16171.03352
223	16123.92973
224	16099.37888
225	16092.4228
226	16066.38039
227	16060.79394
228	16052.3725
229	16025.8183
230	15990.48194
231	15962.32359
232	15944.4569
233	15915.01696
234	15894.22647
235	15869.33998
236	15832.14233
237	15810.78234
238	15774.03455
239	15746.81206
240	15731.80657
241	15725.92074
242	15698.71435
243	15681.36353
244	15641.47461
245	15634.41982
246	15626.22293
247	15593.4424
248	15563.42238
249	15521.01455
250	15490.59432
251	15452.2114
252	15418.72056
253	15396.82999
254	15373.24308
255	15348.13183
256	15319.00598
257	15300.72553
258	15289.90917
259	15267.81063
260	15243.97656
261	15220.36912
262	15181.76663
263	15166.00404
264	15147.09385
265	15129.81579
266	15101.61205
267	15071.75241
268	15053.35089
269	15037.73429
270	15015.33609
271	14980.26736
272	14959.81142
273	14934.94664
274	14891.66814
275	14871.2786
276	14848.40278
277	14818.35353
278	14796.5135
279	14789.12944
280	14754.85493
281	14707.57155
282	14676.23998
283	14653.23244
284	14621.87227
285	14604.03494
286	14566.36993
287	14530.90333
288	14501.64686
289	14479.38084
290	14450.65224
291	14440.43401
292	14425.11326
293	14395.94768
294	14369.6626
295	14335.32542
296	14306.36896
297	14271.30851
298	14228.68958
299	14196.33495
300	14179.73988
301	14147.0382
302	14125.77326
303	14100.31407
304	14075.60669
305	14059.85653
306	14038.53974
307	14009.45508
308	13974.08034
309	13949.30507
310	13927.09592
311	13891.93978
312	13888.28531
313	13884.78475
314	13855.49725
315	13834.24504
316	13817.37675
317	13803.48622
318	13790.18661
319	13772.04715
320	13747.53617
321	13710.10299
322	13686.67042
323	13663.67911
324	13626.79322
325	13595.23476
326	13546.01615
327	13517.99006
328	13496.06391
329	13467.84919
330	13435.14786
331	13411.33429
332	13407.96739
333	13364.46423
334	13347.59926
335	13319.76775
336	13309.11174
337	13287.4204
338	13270.06354
339	13253.64174
340	13237.06083
341	13210.07419
342	13194.17717
343	13174.44031
344	13161.37793
345	13143.89651
346	13116.73514
347	13096.27897
348	13084.97515
349	13062.7572
350	13049.63358
351	13034.00027
352	13003.22829
353	12976.92799
354	12974.67242
355	12953.23152
356	12941.89409
357	12938.94053
358	12925.18876
359	12908.80286
360	12881.43012
361	12869.94486
362	12847.47517
363	12823.1509
364	12804.44217
365	12775.81545
366	12742.59611
367	12724.33695
368	12696.13454
369	12676.52806
370	12654.78319
371	12639.29316
372	12616.31316
373	12593.29399
374	12571.04626
375	12569.31076
376	12547.70471
377	12545.86867
378	12523.27452
379	12521.48236
380	12501.79163
381	12480.26999
382	12478.71373
383	12453.09708
384	12450.47527
385	12424.70612
386	12405.75141
387	12373.73731
388	12356.46164
389	12331.51402
390	12308.05527
391	12294.41251
392	12280.62913
393	12254.84824
394	12221.85054
395	12194.95109
396	12184.47001
397	12158.90701
398	12143.78117
399	12118.94382
400	12117.36782
401	12096.30857
402	12077.48676
403	12048.79122
404	12032.33397
405	12015.29986
406	11994.67261
407	11974.64909
408	11972.66723
409	11957.60234
410	11940.74596
411	11931.14885
412	11911.47163
413	11891.8391
414	11882.9543
415	11881.55151
416	11857.55647
417	11839.18282
418	11822.5896
419	11812.65694
420	11797.19589
421	11784.38803
422	11767.80002
423	11744.74275
424	11720.06286
425	11710.27488
426	11702.55732
427	11690.36269
428	11671.62394
429	11644.6736
430	11637.21113
431	11611.7908
432	11610.29344
433	11598.22498
434	11579.0512
435	11564.85736
436	11563.40216
437	11544.39603
438	11531.07287
439	11510.54141
440	11504.16772
441	11477.36748
442	11452.68037
443	11431.49827
444	11415.96568
445	11414.56754
446	11413.15427
447	11397.51464
448	11396.14631
449	11382.59823
450	11381.26998
451	11360.63985
452	11348.61108
453	11346.75916
454	11331.31545
455	11330.21177
456	11306.2972
457	11300.92593
458	11288.12549
459	11278.77451
460	11276.09073
461	11254.85634
462	11230.60784
463	11216.97058
464	11198.17049
465	11178.78098
466	11168.86257
467	11159.26895
468	11151.83076
469	11133.43334
470	11122.28196
471	11107.08011
472	11089.41607
473	11088.22632
474	11072.68875
475	11065.35052
476	11046.25251
477	11042.86431
478	11041.69953
479	11025.58435
480	11013.26047
481	11001.5765
482	10985.68283
483	10972.27463
484	10952.11766
485	10933.21371
486	10900.11104
487	10899.00761
488	10889.7846
489	10880.61664
490	10870.29705
491	10869.20885
492	10850.01168
493	10846.00155
494	10834.88579
495	10812.21969
496	10795.92398
497	10794.91112
498	10783.25236
499	10765.80412
500	10755.3037
501	10743.70303
502	10727.40712
503	10715.58703
504	10691.69824
505	10680.39063
506	10664.76993
507	10650.60156
508	10649.61262
509	10636.69746
510	10633.11944
511	10619.36478
512	10601.1351
513	10585.61154
514	10569.67443
515	10552.54897
516	10542.99277
517	10524.07893
518	10509.60565
519	10492.8527
520	10486.36589
521	10465.69786
522	10455.18503
523	10443.37168
524	10438.40756
525	10420.2043
526	10407.16375
527	10393.39788
528	10387.52252
529	10386.57713
530	10366.01381
531	10349.65749
532	10332.6522
533	10321.02257
534	10308.07046
535	10285.67973
536	10272.30314
537	10261.25839
538	10245.87901
539	10230.82063
540	10221.13112
541	10214.90548
542	10203.06825
543	10180.07951
544	10178.20239
545	10169.03131
546	10158.29329
547	10134.79775
548	10120.97287
549	10096.3473
550	10087.08893
551	10065.68739
552	10050.49613
553	10040.59761
554	10032.36496
555	10010.05123
556	9999.21935
557	9985.424962
558	9968.052576
559	9956.211935
560	9955.313142
561	9943.3637
562	9939.056253
563	9928.040112
564	9913.702725
565	9901.811056
566	9889.341201
567	9875.015331
568	9872.232446
569	9863.258759
570	9845.033685
571	9831.554575
572	9830.684713
573	9817.22948
574	9808.449954
575	9796.598274
576	9792.904919
577	9782.357088
578	9779.804839
579	9763.485473
580	9752.201372
581	9751.392532
582	9735.076972
583	9709.528548
584	9707.938819
585	9691.586724
586	9680.990887
587	9671.439777
588	9665.359705
589	9646.652051
590	9618.588758
591	9600.626459
592	9579.47674
593	9578.856335
594	9571.527983
595	9552.456195
596	9540.160503
597	9537.979243
598	9526.349387
599	9518.263029
600	9507.920798
601	9494.780974
602	9493.601903
603	9491.526399
604	9476.094473
605	9459.521873
606	9448.818015
607	9438.275229
608	9437.073553
609	9433.645608
610	9423.6635
611	9409.472959
612	9399.563974
613	9381.417149
614	9368.589751
615	9357.569065
616	9342.564843
617	9322.380116
618	9308.326482
619	9297.722008
620	9284.336356
621	9280.306501
622	9270.244291
623	9254.359929
624	9250.377296
625	9236.325735
626	9221.039538
627	9203.751338
628	9203.211953
629	9189.070901
630	9176.905189
631	9165.07264
632	9151.143145
633	9141.712707
634	9133.797486
635	9121.881101
636	9115.026062
637	9107.055804
638	9095.839373
639	9083.444678
640	9069.718448
641	9058.912726
642	9044.733459
643	9043.86851
644	9034.396581
645	9026.524159
646	9014.80576
647	9007.129326
648	8995.700602
649	8983.000847
650	8974.676198
651	8964.021101
652	8951.362549
653	8941.063221
654	8930.667325
655	8924.821398
656	8905.148238
657	8887.137275
658	8866.797895
659	8859.57967
660	8854.4744
661	8841.850403
662	8826.982666
663	8809.413749
664	8801.905231
665	8797.460948
666	8788.02887
667	8779.127986
668	8774.054792
669	8772.778629
670	8763.950623
671	8749.093996
672	8740.441099
673	8729.432368
674	8717.161879
675	8705.450892
676	8689.719503
677	8679.057098
678	8666.522316
679	8661.343047
680	8646.722805
681	8632.741627
682	8627.46205
683	8609.862726
684	8602.040665
685	8590.836577
686	8578.279984
687	8568.06576
688	8556.113153
689	8543.621866
690	8533.207923
691	8518.810081
692	8508.378359
693	8501.436758
694	8487.699036
695	8473.366938
696	8464.372109
697	8451.544594
698	8444.82305
699	8438.045459
700	8425.953864
701	8415.246521
702	8404.23334
703	8398.946544
704	8387.431271
705	8376.803136
706	8366.945121
707	8361.20327
708	8358.287734
709	8352.762209
710	8340.266927
711	8329.519406
712	8320.317357
713	8310.164501
714	8302.069923
715	8285.468492
716	8272.435653
717	8260.839565
718	8252.602012
719	8241.084512
720	8231.51307
721	8227.652144
722	8219.597432
723	8208.237231
724	8197.637031
725	8189.251768
726	8179.677802
727	8168.996008
728	8166.0312
729	8153.832448
730	8137.538394
731	8128.273427
732	8118.343406
733	8099.713963
734	8091.866227
735	8086.902058
736	8078.321891
737	8069.87239
738	8062.212986
739	8051.03646
740	8039.257477
741	8031.765739
742	8020.399976
743	8006.88916
744	7998.102315
745	7989.529676
746	7983.673961
747	7975.395455
748	7969.881416
749	7960.463545
750	7950.843486
751	7939.528941
752	7930.69649
753	7921.419098
754	7908.022692
755	7900.675343
756	7893.059155
757	7883.640239
758	7868.990049
759	7861.973323
760	7856.967688
761	7847.898633
762	7840.2337
763	7837.578612
764	7832.65695
765	7827.451522
766	7818.106827
767	7808.744664
768	7801.699858
769	7789.272451
770	7773.742707
771	7766.717964
772	7759.09544
773	7752.869475
774	7743.853188
775	7734.984114
776	7728.269594
777	7722.156708
778	7714.9704
779	7701.449766
780	7691.654363
781	7686.399258
782	7680.159331
783	7664.549306
784	7654.7171
785	7647.172475
786	7634.360512
787	7622.413897
788	7615.555466
789	7604.199062
790	7585.012218
791	7576.713054
792	7568.744113
793	7561.716189
794	7551.294839
795	7540.486422
796	7523.969852
797	7510.274639
798	7504.057009
799	7497.460098
800	7488.030806
801	7473.826117
802	7464.094107
803	7453.489778
804	7448.736784
805	7443.92948
806	7432.445478
807	7424.854541
808	7419.217307
809	7409.509428
810	7393.605555
811	7384.611004
812	7378.157677
813	7375.15033
814	7369.621617
815	7365.264572
816	7357.185319
817	7345.48082
818	7336.487489
819	7330.202876
820	7318.583863
821	7314.323373
822	7309.899245
823	7302.419227
824	7294.378415
825	7278.682329
826	7265.905511
827	7261.841613
828	7259.669472
829	7253.138621
830	7241.397825
831	7234.526756
832	7228.538573
833	7217.126624
834	7212.128781
835	7202.747172
836	7188.991456
837	7184.351936
838	7181.802429
839	7174.018852
840	7160.36737
841	7154.872465
842	7150.998855
843	7139.017599
844	7136.023522
845	7126.520134
846	7113.470909
847	7107.355461
848	7100.040301
849	7089.987855
850	7086.014654
851	7073.043695
852	7063.843039
853	7061.157649
854	7055.219391
855	7037.693433
856	7031.543028
857	7025.945702
858	7018.732923
859	7013.554641
860	7002.561537
861	6993.639317
862	6981.435548
863	6974.975306
864	6970.324791
865	6961.108158
866	6952.083891
867	6950.943029
868	6945.640856
869	6939.150356
870	6933.938081
871	6927.514439
872	6920.833418
873	6911.854527
874	6903.76366
875	6896.017546
876	6892.373313
877	6885.419227
878	6881.297893
879	6875.510697
880	6866.611936
881	6855.135323
882	6848.080812
883	6839.513814
884	6825.498004
885	6819.147887
886	6804.994957
887	6793.424639
888	6781.884387
889	6772.9289
890	6761.936888
891	6756.984932
892	6750.826877
893	6740.899084
894	6740.483788
895	6729.536922
896	6721.677006
897	6720.705624
898	6713.425167
899	6703.977483
900	6697.204619
901	6685.952351
902	6682.111798
903	6669.344883
904	6661.690319
905	6650.598689
906	6644.749617
907	6637.049503
908	6634.6943
909	6627.722427
910	6620.11874
911	6615.775594
912	6601.971836
913	6598.212102
914	6591.411258
915	6584.665094
916	6579.557019
917	6564.226367
918	6558.159256
919	6553.807058
920	6544.730369
921	6538.569338
922	6533.111322
923	6525.884771
924	6522.065052
925	6517.705084
926	6511.152928
927	6500.168261
928	6493.297806
929	6483.823781
930	6472.378194
931	6464.320439
932	6459.495093
933	6449.259266
934	6447.816041
935	6435.618972
936	6425.494099
937	6421.61108
938	6412.664646
939	6405.308973
940	6398.545683
941	6394.527163
942	6389.514703
943	6384.04582
944	6374.500745
945	6362.399551
946	6358.701909
947	6353.119084
948	6347.27475
949	6340.430153
950	6335.946162
951	6330.569633
952	6324.752612
953	6313.217922
954	6308.337921
955	6297.168131
956	6293.105632
957	6281.865882
958	6278.215541
959	6263.774112
960	6258.526552
961	6252.656444
962	6241.474886
963	6240.682436
964	6234.292763
965	6227.404033
966	6215.47173
967	6204.718459
968	6199.902037
969	6196.800961
970	6192.631676
971	6189.185582
972	6180.598475
973	6179.057961
974	6171.171602
975	6163.500243
976	6155.780499
977	6150.905665
978	6141.390782
979	6133.211577
980	6130.28314
981	6120.04865
982	6114.641503
983	6108.311197
984	6099.08477
985	6087.459623
986	6080.18367
987	6075.495008
988	6069.50108
989	6057.083402
990	6056.445384
991	6052.031174
992	6047.272707
993	6046.631752
994	6039.327249
995	6036.324649
996	6026.109227
997	6020.201711
998	6017.189778
999	6006.139598
